"","TEAM","LAMBDA","R2","SST","SSE","RMSE"
"1","ATL",2511.88643150958,0.0668913369883518,13667.9024390244,12753.6381710517,12.4712538590834
"2","BKN",1000,0.150199391345262,19224.7804878049,16337.2301597903,14.1150456656642
"3","BOS",3162.27766016838,0.0556023664869846,11132.9390243902,10513.9212686788,11.3233631071806
"4","CHA",10000,0.0152129881749599,17829.6097560976,17558.3681137139,14.6330598444462
"5","CHI",10000,0.00902064977505301,12176,12066.164568339,12.1304718949585
"6","CLE",1995.26231496888,0.107826572008716,19540.4512195122,17433.4713490087,14.5809227806148
"7","DAL",630.957344480193,0.237836107041234,17683.2195121951,13477.511423459,12.8202923292738
"8","DEN",3981.07170553497,0.0603470808345942,17078.3902439024,16047.7592473289,13.9894381969036
"9","DET",1000,0.118193944337682,12458.987804878,10986.4108937644,11.5749998123397
"10","GSW",10000,0.00996925369005697,12127.2195121951,12006.320184323,12.100352839203
"11","HOU",501.187233627272,0.202830950915324,11918.3048780488,9500.9037663354,10.7640457114071
"12","IND",316.227766016838,0.287899772916931,11458.5487804878,8159.63518862779,9.9753569461337
"13","LAC",10000,0.0122234211457252,15281.9024390244,15095.1053096043,13.5678535560024
"14","LAL",10000,0.00960641117374783,9200.25609756098,9111.87465458402,10.5413672081414
"15","MEM",10000,0.0144074920828811,11839.1219512195,11668.5498954391,11.9289307554688
"16","MIA",10000,0.0176543561381074,12727.7195121951,12503.0198191009,12.3481112504079
"17","MIL",1000,0.140895219477468,11316.1951219512,9721.79732659405,10.8884573738824
"18","MIN",10000,0.0169070432776719,9853.4756097561,9686.88247118647,10.8688873884703
"19","NOP",1584.89319246111,0.0946021795189751,15205.4756097561,13767.0044764506,12.957248878265
"20","NYK",1995.26231496888,0.102623423354573,10991.756097561,9863.74445815077,10.9676600313291
"21","OKC",10000,0.0193310027166993,14472.243902439,14192.4809162442,13.1559505762204
"22","ORL",10000,0.0159770429536001,8838.09756097561,8696.89089661579,10.2985263548083
"23","PHI",1584.89319246111,0.156570183386623,14266,12032.3697638064,12.113472525737
"24","PHX",10000,0.0158996016123486,12346.012195122,12149.7155197183,12.1723975631586
"25","POR",2511.88643150958,0.0577031386656598,11044.5975609756,10407.2896164082,11.2657962902655
"26","SAC",10000,0.0135804970623639,13604.1097560976,13419.3591835188,12.7926041817227
"27","SAS",10000,0.0168184032465624,12346.9390243902,12139.2832250173,12.1671705556173
"28","TOR",158.489319246111,0.377739396186731,12740.4024390244,7927.85051453137,9.83265497389939
"29","UTA",501.187233627272,0.258329433555742,13024.0487804878,9659.55363642204,10.8535447937765
"30","WAS",5011.87233627273,0.0378516223798737,18921.6219512195,18205.4078623072,14.9002405702904
